time,plug_tip_x,plug_tip_y,plug_tip_z,port_target_x,port_target_y,port_target_z,error_x,error_y,error_z,error_axial,error_lateral,error_norm,left_tcp_x,left_tcp_y,left_tcp_z,right_tcp_x,right_tcp_y,right_tcp_z,base_x,base_y,base_yaw,right_tcp_force,right_actual_j1,right_actual_j2,right_actual_j3,right_actual_j4,right_actual_j5,right_actual_j6,right_target_j1,right_target_j2,right_target_j3,right_target_j4,right_target_j5,right_target_j6
2.935000000000000142e+01,7.752681325254517919e-02,3.748290567227659520e-01,8.819200289242776769e-01,4.200000000000003730e-02,3.759999999999383835e-01,8.840000000000000080e-01,3.552681325254514189e-02,-1.170943277172431518e-03,-2.079971075722331086e-03,-3.552681325254489902e-02,2.386920156648318289e-03,3.560690730343501337e-02,1.371158886813509392e-01,3.708634522514833165e-01,8.964504618001782887e-01,-1.051981977846848243e-01,3.711546617716489638e-01,9.381434971354937202e-01,0.000000000000000000e+00,8.500000000000000611e-02,0.000000000000000000e+00,5.426613192450336953e+01,4.418645889793847426e-01,1.090973389344733480e-01,5.742691199201861441e-01,-7.734410701724941939e-01,2.015090620170365110e+00,-1.497622628150468982e+00,4.586365671519370690e-01,1.174280794618697416e-01,5.783351777695037166e-01,-7.731590480381549391e-01,2.014934072826166656e+00,-1.497165201698944959e+00
2.935999999999999943e+01,7.723241740547426293e-02,3.749879192517119320e-01,8.821451732730654083e-01,4.200000000000003730e-02,3.759999999999383835e-01,8.840000000000000080e-01,3.523241740547422562e-02,-1.012080748226451554e-03,-1.854826726934599712e-03,-3.523241740547401746e-02,2.112981218065197297e-03,3.529572107014453120e-02,1.368269625919948107e-01,3.710220781252674405e-01,8.966523682873415169e-01,-1.051917314053101848e-01,3.711540050530690582e-01,9.381446674570120825e-01,0.000000000000000000e+00,8.500000000000000611e-02,0.000000000000000000e+00,5.422830726921879574e+01,4.422410124734969528e-01,1.096400632792892821e-01,5.742055495026227030e-01,-7.735054715083679033e-01,2.015062527378765456e+00,-1.497538930665705648e+00,4.586365671519370690e-01,1.174280794618697416e-01,5.783351777695037166e-01,-7.731590480381549391e-01,2.014934072826166656e+00,-1.497165201698944959e+00
2.937000000000000099e+01,7.699912166167109662e-02,3.751150666851418292e-01,8.823228655449243396e-01,4.200000000000003730e-02,3.759999999999383835e-01,8.840000000000000080e-01,3.499912166167105931e-02,-8.849333147965543489e-04,-1.677134455075668384e-03,-3.499912166167087890e-02,1.896282403032730889e-03,3.505045511887814463e-02,1.365968331728573126e-01,3.711482871562959973e-01,8.968129278970988771e-01,-1.051852344166483988e-01,3.711534163365479144e-01,9.381459387343228373e-01,0.000000000000000000e+00,8.500000000000000611e-02,0.000000000000000000e+00,5.418174011359383258e+01,4.425405233136162075e-01,1.100760871535614999e-01,5.741496872442842792e-01,-7.735585937077118501e-01,2.015040095987891355e+00,-1.497470495619217301e+00,4.586365671519370690e-01,1.174280794618697416e-01,5.783351777695037166e-01,-7.731590480381549391e-01,2.014934072826166656e+00,-1.497165201698944959e+00
2.937999999999999901e+01,7.682155393490172623e-02,3.752145648729892091e-01,8.824578069203661279e-01,4.200000000000003730e-02,3.759999999999383835e-01,8.840000000000000080e-01,3.482155393490168893e-02,-7.854351269491743892e-04,-1.542193079633880082e-03,-3.482155393490152934e-02,1.730684209648776549e-03,3.486453622629711452e-02,1.364209435495532807e-01,3.712462310118213593e-01,8.969357060502458623e-01,-1.051790432976879019e-01,3.711529143947291387e-01,9.381472457184159008e-01,0.000000000000000000e+00,8.500000000000000611e-02,0.000000000000000000e+00,5.413804539407695415e+01,4.427716303812193610e-01,1.104170779976056810e-01,5.740962517608574345e-01,-7.736033369445833863e-01,2.015022434418605179e+00,-1.497414525372632976e+00,4.586365671519370690e-01,1.174280794618697416e-01,5.783351777695037166e-01,-7.731590480381549391e-01,2.014934072826166656e+00,-1.497165201698944959e+00
2.939000000000000057e+01,7.669217284508308974e-02,3.752908852072079915e-01,8.825562780402774754e-01,4.200000000000003730e-02,3.759999999999383835e-01,8.840000000000000080e-01,3.469217284508305243e-02,-7.091147927303920184e-04,-1.443721959722532588e-03,-3.469217284508290672e-02,1.608470356041513411e-03,3.472944044466268199e-02,1.362922836454612541e-01,3.713205302091503457e-01,8.970259156410741452e-01,-1.051733750420129343e-01,3.711524907108760818e-01,9.381485343688501510e-01,0.000000000000000000e+00,8.500000000000000611e-02,0.000000000000000000e+00,5.410538946199344679e+01,4.429447634498236419e-01,1.106762900029419489e-01,5.740437624087001423e-01,-7.736417186546954428e-01,2.015008669512740713e+00,-1.497368736456802463e+00,4.586365671519370690e-01,1.174280794618697416e-01,5.783351777695037166e-01,-7.731590480381549391e-01,2.014934072826166656e+00,-1.497165201698944959e+00
2.940000000000000213e+01,7.683616463362802351e-02,3.749682777847612725e-01,8.822315364263674242e-01,4.200000000000003730e-02,3.759999999999383835e-01,8.840000000000000080e-01,3.483616463362798621e-02,-1.031722215177111046e-03,-1.768463573632583774e-03,-3.483616463362777110e-02,2.047416455089233044e-03,3.489627889219405754e-02,1.364440959897233185e-01,3.709903751992078003e-01,8.967530163046391056e-01,-1.051505194539242294e-01,3.711436313692227373e-01,9.381518120481898704e-01,0.000000000000000000e+00,8.500000000000000611e-02,0.000000000000000000e+00,5.467453034811361334e+01,4.422227378089384486e-01,1.106160213927722125e-01,5.737281482384004594e-01,-7.736594421878063566e-01,2.014923624596379526e+00,-1.497368342869835001e+00,4.430570116663914426e-01,1.108257590607946708e-01,5.739236366665894096e-01,-7.736016684405930821e-01,2.015013683315899140e+00,-1.497387856396403372e+00
2.941000000000000014e+01,7.731536156717395969e-02,3.742058743778602925e-01,8.815188859018134870e-01,4.200000000000003730e-02,3.759999999999383835e-01,8.840000000000000080e-01,3.531536156717392239e-02,-1.794125622078091009e-03,-2.481114098186520955e-03,-3.531536156717355462e-02,3.061831790945286364e-03,3.544784304490531529e-02,1.369033980556994545e-01,3.702377102218357141e-01,8.961135842548926256e-01,-1.051237654016806827e-01,3.711345469162042332e-01,9.381557343184809827e-01,0.000000000000000000e+00,8.500000000000000611e-02,0.000000000000000000e+00,5.444767792008084939e+01,4.406173606727849523e-01,1.101871023122652088e-01,5.731795186266084308e-01,-7.737053070460935267e-01,2.014900415929435251e+00,-1.497376886108875427e+00,4.433797252890239182e-01,1.112554826021212445e-01,5.735782751580210670e-01,-7.734865240750486981e-01,2.015028097999981060e+00,-1.497442826222756374e+00
2.942000000000000171e+01,7.795839760395169293e-02,3.733031305137186062e-01,8.806490486131810513e-01,4.200000000000003730e-02,3.759999999999383835e-01,8.840000000000000080e-01,3.595839760395165563e-02,-2.696869486219777290e-03,-3.350951386818956657e-03,-3.595839760395110052e-02,4.301392823559286108e-03,3.621475304991604582e-02,1.375197966527730575e-01,3.693328559569737379e-01,8.953207096239876872e-01,-1.051059018412661417e-01,3.711318297989937287e-01,9.381593818431521736e-01,0.000000000000000000e+00,8.500000000000000611e-02,0.000000000000000000e+00,5.423099864006986337e+01,4.386859540848333516e-01,1.095931794872483933e-01,5.724656781747416989e-01,-7.737515434331111441e-01,2.014918598392608562e+00,-1.497397464835499958e+00,4.438918577771145402e-01,1.119374351785742960e-01,5.730302014596411198e-01,-7.733037949732067817e-01,2.015050973476892882e+00,-1.497530060947186437e+00
2.942999999999999972e+01,7.864262661480599104e-02,3.724255103446428850e-01,8.797672877881143050e-01,4.200000000000003730e-02,3.759999999999383835e-01,8.840000000000000080e-01,3.664262661480595373e-02,-3.574489655295498558e-03,-4.232712211885703013e-03,-3.664262661480521127e-02,5.540110916264679580e-03,3.705907330461120225e-02,1.381778119427476692e-01,3.684462847134508667e-01,8.945160314419812186e-01,-1.050982660385494094e-01,3.711345643525330584e-01,9.381624541357956870e-01,0.000000000000000000e+00,8.500000000000000611e-02,0.000000000000000000e+00,5.412846534023830003e+01,4.367825019080708859e-01,1.089947168031226987e-01,5.716310813540057545e-01,-7.737757593252954091e-01,2.014958355819087998e+00,-1.497433270379303627e+00,4.445723625900568354e-01,1.128435913418064374e-01,5.723019391480950180e-01,-7.730609905502110468e-01,2.015081369658543231e+00,-1.497645975581017641e+00
2.944000000000000128e+01,7.928180012120031317e-02,3.716667344946690821e-01,8.789663239683349616e-01,4.200000000000003730e-02,3.759999999999383835e-01,8.840000000000000080e-01,3.728180012120027587e-02,-4.333265505269301432e-03,-5.033676031665046402e-03,-3.728180012119938075e-02,6.641918723605612189e-03,3.786882232929939668e-02,1.387936187567521129e-01,3.676763658206427254e-01,8.937878369885068341e-01,-1.050990746839379070e-01,3.711401690898143424e-01,9.381646522687060452e-01,0.000000000000000000e+00,8.500000000000000611e-02,0.000000000000000000e+00,5.407076438430026144e+01,4.351150479627125534e-01,1.085078260140071027e-01,5.707091752697608378e-01,-7.737635803936405710e-01,2.015007879749878050e+00,-1.497486267224162670e+00,4.454001931872444975e-01,1.139459256434702666e-01,5.714160118000285449e-01,-7.727656202212060954e-01,2.015118346456839404e+00,-1.497786985135575399e+00
