time,port_target_error_x_mm,port_target_error_y_mm,port_target_error_z_mm,plug_tip_error_x_mm,plug_tip_error_y_mm,plug_tip_error_z_mm,port_marker_camera_count,plug_marker_camera_count
1.024000000000000021e+01,5.132636561765852035e-01,3.981601442439863803e-01,-1.395532001166044367e-01,-3.078430182716362928e-01,-2.774202453724172734e-01,4.061017938146171957e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.025000000000000000e+01,2.840572095681725973e-02,-3.914783256235843112e-01,-6.785419561813332834e-01,1.547584896917086894e-01,-4.602724958915338505e-01,5.732038122174820671e-02,3.000000000000000000e+00,3.000000000000000000e+00
1.025999999999999979e+01,-5.267884471160944049e-01,9.160895155957415881e-01,9.942058608891635174e-01,-1.229870468933691452e-01,8.373377876080834170e-02,4.621607082700984748e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.026999999999999957e+01,-5.586699204860323675e-01,1.455725851628231204e+00,-2.058560265041364801e-01,2.938413001279116532e-01,1.201452499123123463e+00,6.076616971980586257e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.027999999999999936e+01,-3.747332409382020391e-01,-2.820435573351876002e-01,-1.335897160613330747e+00,-9.721375809899623910e-01,2.428551070610129869e-01,1.802261026684348622e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.029000000000000092e+01,1.397766346893286604e+00,-4.964901782409381070e-01,9.468307531774744490e-01,-5.725629095836015647e-01,-1.162135577161660382e+00,-7.189528831168523482e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.030000000000000071e+01,-3.633096364421967150e-01,-3.982933344590655622e-01,7.420492671815770436e-01,-2.634576554302048290e-01,3.454524823376381448e-01,3.006023527919454708e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.031000000000000050e+01,5.054631267705361752e-01,-9.620631010176516895e-04,2.519034447843182534e-01,-6.891144130922455258e-01,1.071206083924858277e+00,-4.629709190562270038e-02,3.000000000000000000e+00,3.000000000000000000e+00
1.032000000000000028e+01,-1.651623269523089244e-01,7.669102950247363992e-02,2.255150623192703208e-01,3.436985432094530335e-01,-6.302379313193329224e-01,4.319523640931022257e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.033000000000000007e+01,-7.845226015939094077e-01,-2.270237188393697814e-01,5.636702222853173794e-01,-4.066138442363476102e-01,6.981077105723265674e-01,8.466561079977230619e-01,3.000000000000000000e+00,3.000000000000000000e+00
