time,x_error_mm,y_error_mm,z_error_mm
4.002000000000000313e+01,7.302416092228503430e+01,3.885169733113791324e+01,8.140649188553727100e+00
4.003000000000000114e+01,7.207044550582750730e+01,4.135957750610291583e+01,7.265385134927138111e+00
4.003999999999999915e+01,7.111824229417285892e+01,4.386513863270491242e+01,6.354142228766401779e+00
4.005000000000000426e+01,7.016942441045789280e+01,4.636321711307351023e+01,5.408408277114085116e+00
4.006000000000000227e+01,6.922584195662267348e+01,4.884873721838700789e+01,4.429935241744953345e+00
4.007000000000000028e+01,6.828930954076622584e+01,5.131671604937804432e+01,3.420734117363766202e+00
4.007999999999999829e+01,6.736160109356669068e+01,5.376227025788126923e+01,2.383069189798026066e+00
4.009000000000000341e+01,6.644444311259657354e+01,5.618062376430648897e+01,1.319453910041623601e+00
4.010000000000000142e+01,6.553952585905081207e+01,5.856710928508834968e+01,2.326568354432678731e-01
4.010999999999999943e+01,6.464850596800469873e+01,6.091717042811816896e+01,8.743130865893622428e-01
4.011999999999999744e+01,6.377299558465922047e+01,6.322636707240991427e+01,1.998216874590563741e+00
4.013000000000000256e+01,6.291456266011390142e+01,6.549037764001114681e+01,3.135593432139094361e+00
4.014000000000000057e+01,6.207473179816205544e+01,6.770499974815425048e+01,4.282769449061696321e+00
4.014999999999999858e+01,6.125498527733930132e+01,6.986614921773437459e+01,5.435870378495577526e+00
4.016000000000000369e+01,6.045676567768163068e+01,7.196985629398344031e+01,6.590831336616420622e+00
4.017000000000000171e+01,5.968147793292782666e+01,7.401226703662555906e+01,7.743411160991087172e+00
4.017999999999999972e+01,5.893048786015382490e+01,7.598964024926802097e+01,8.889208307349294458e+00
4.018999999999999773e+01,5.820512221031344779e+01,7.789833945791041003e+01,1.002367561492112458e+01
4.020000000000000284e+01,5.750667302283106608e+01,7.973482657716989763e+01,1.114213584301371185e+01
4.021000000000000085e+01,5.683640091952560169e+01,8.149565519239094158e+01,1.223979829937060870e+01
4.021999999999999886e+01,5.619553806444173460e+01,8.317746259555435984e+01,1.331177616604772851e+01
4.023000000000000398e+01,5.558529151563951132e+01,8.477696054308874807e+01,1.435310469241501963e+01
4.024000000000000199e+01,5.500684707229572012e+01,8.629092478718558823e+01,1.535876020867688041e+01
4.025000000000000000e+01,5.446137361320261761e+01,8.771618340585690987e+01,1.632367990541616720e+01
4.025999999999999801e+01,5.395002792154709681e+01,8.904960396344446849e+01,1.724278235837040185e+01
4.027000000000000313e+01,5.347395999122964128e+01,9.028807953842360234e+01,1.811098879780681514e+01
4.028000000000000114e+01,5.303431880667064036e+01,9.142851365587756618e+01,1.892324513454568446e+01
