time,actual_j1,actual_j2,actual_j3,actual_j4,actual_j5,actual_j6,target_j1,target_j2,target_j3,target_j4,target_j5,target_j6
8.460000000000000853e+00,-7.742465432098182346e-03,-8.385898803473948535e-04,-8.186903131088717938e-04,-8.117566373663975734e-04,7.475184184603064124e-04,-5.663169154420263247e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.470000000000000639e+00,-7.733662722994682007e-03,-8.278382489732714813e-04,-8.152460987129980016e-04,-8.113078038959599348e-04,7.469227655694340344e-04,-6.282541490540140667e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.480000000000000426e+00,-7.724781441150801661e-03,-8.171811465652032737e-04,-8.117592597161480067e-04,-8.108318375542710853e-04,7.462821946538555559e-04,-6.943562612239400474e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.490000000000000213e+00,-7.715984492101082490e-03,-8.069136555514938710e-04,-8.082734401814348994e-04,-8.103296496986635072e-04,7.456035872813277995e-04,-7.539633766800489783e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000000e+00,-7.682957776204193609e-03,-7.626392289640050509e-04,-7.992530276136753297e-04,-8.118623724061443340e-04,7.465516115276260925e-04,-3.073156736464553357e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.509999999999999787e+00,-7.637928837876177719e-03,-7.048763325560738298e-04,-7.797190388040963361e-04,-8.115821059589073752e-04,7.459783225900646925e-04,-4.063855218858641996e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.519999999999999574e+00,-7.602289311719761036e-03,-6.605665781158487218e-04,-7.615484759787482984e-04,-8.106325436751754500e-04,7.450021445142354648e-04,-4.096705424017384053e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.529999999999999361e+00,-7.584362499613533579e-03,-6.392315882102195517e-04,-7.508538593711300323e-04,-8.097565774322608781e-04,7.442216007552506559e-04,-3.659248982862481836e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.540000000000000924e+00,-7.583867060519730932e-03,-6.401869988112247542e-04,-7.484297158076498070e-04,-8.091810043932710830e-04,7.438117654424722478e-04,-2.973920669449966171e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.550000000000000711e+00,-7.597685139579983711e-03,-6.591006208368422508e-04,-7.521223765214210630e-04,-8.088598400619790608e-04,7.437401460428364657e-04,-2.104771504201998640e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.560000000000000497e+00,-7.620775618872789592e-03,-6.891995485054183170e-04,-7.607542028461428650e-04,-8.088914577000974994e-04,7.439764626143380386e-04,-1.389694090305197418e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.570000000000000284e+00,-7.647994663941565761e-03,-7.242091173238369159e-04,-7.721560205334036158e-04,-8.091628395279236224e-04,7.443956802312636954e-04,-8.579046194009486299e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.580000000000000071e+00,-7.675094048575260494e-03,-7.590212424365004769e-04,-7.842359724325579685e-04,-8.095498280071770480e-04,7.448833433718438741e-04,-4.917770387208275552e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
