time,left_tcp_x,left_tcp_y,left_tcp_z,right_tcp_x,right_tcp_y,right_tcp_z
8.779999999999999361e+00,2.820480535777088460e-01,4.032762796871330324e-01,9.653556102941834860e-01,-1.351139058103414670e-01,3.439372682071424880e-01,9.863810887800065208e-01
8.790000000000000924e+00,2.820661986156839385e-01,4.032644657462920446e-01,9.653435880351692866e-01,-1.353365394286099588e-01,3.438842471255625366e-01,9.858428723743341004e-01
8.800000000000000711e+00,2.820840119336701646e-01,4.032529745846256120e-01,9.653318138913362656e-01,-1.353620116252798877e-01,3.439186411264864018e-01,9.853851489165894595e-01
8.810000000000000497e+00,2.820996099417772407e-01,4.032430682584449144e-01,9.653215852079419790e-01,-1.352065235857717873e-01,3.440258403056463687e-01,9.849971334084907104e-01
8.820000000000000284e+00,2.821118678276172687e-01,4.032354771291797313e-01,9.653136636862074127e-01,-1.348924630162399996e-01,3.441922670438388177e-01,9.846675873603990548e-01
8.830000000000000071e+00,2.821203174536851543e-01,4.032304778169669701e-01,9.653083521066464501e-01,-1.344451783234233977e-01,3.444055826905296214e-01,9.843860056116189305e-01
8.839999999999999858e+00,2.821249998411342053e-01,4.032280122801618627e-01,9.653056007479255962e-01,-1.338908615231715893e-01,3.446546885193454424e-01,9.841432130791482047e-01
8.849999999999999645e+00,2.821264852966682835e-01,4.032275737884550293e-01,9.653049395523024545e-01,-1.332554070842423277e-01,3.449296071850412870e-01,9.839315604870515486e-01
8.859999999999999432e+00,2.821255627987471204e-01,4.032286627710776616e-01,9.653058648405534736e-01,-1.325630749231351824e-01,3.452211121606282296e-01,9.837451875658493883e-01
8.870000000000000995e+00,2.821226924737646469e-01,4.032310337104402231e-01,9.653081061581857414e-01,-1.318364894917777030e-01,3.455207646878067917e-01,9.835797463893668491e-01
8.880000000000000782e+00,2.821183636148606455e-01,4.032343397661867224e-01,9.653113336547721746e-01,-1.310966397995849686e-01,3.458207311612970791e-01,9.834322352756234009e-01
8.890000000000000568e+00,2.821131439634939064e-01,4.032380332447181859e-01,9.653150505025379635e-01,-1.303628715091666723e-01,3.461136445092876102e-01,9.833008436151986498e-01
8.900000000000000355e+00,2.821074845334690662e-01,4.032419141847233268e-01,9.653190120833182730e-01,-1.296533472850024404e-01,3.463924669260502465e-01,9.831846200661746860e-01
8.910000000000000142e+00,2.821016483468317682e-01,4.032459113489479385e-01,9.653231079615738341e-01,-1.289852439266545026e-01,3.466504628371725460e-01,9.830833058460176632e-01
8.919999999999999929e+00,2.820958469967196347e-01,4.032499423090463164e-01,9.653272329684894348e-01,-1.283748222840769282e-01,3.468810941780883228e-01,9.829972375015203490e-01
8.929999999999999716e+00,2.820902318705010292e-01,4.032539339497107633e-01,9.653313048822698139e-01,-1.278376396752614608e-01,3.470779631069359494e-01,9.829272145203441502e-01
8.939999999999999503e+00,2.820674663180186004e-01,4.032691602945578935e-01,9.653458915928193607e-01,-1.279349325330840781e-01,3.467093765140503159e-01,9.825924894883865113e-01
8.950000000000001066e+00,2.820360737237709303e-01,4.032897814079366428e-01,9.653666790434530798e-01,-1.285487660504351926e-01,3.460942172885350665e-01,9.819146242230012422e-01
8.960000000000000853e+00,2.820113123111198106e-01,4.033059632830063301e-01,9.653833149595654195e-01,-1.294361965698464789e-01,3.454497513301535982e-01,9.811024569351722846e-01
8.970000000000000639e+00,2.819989616486017203e-01,4.033140035465311302e-01,9.653917581929611913e-01,-1.304306225343797865e-01,3.448615138603937091e-01,9.802823619176412873e-01
8.980000000000000426e+00,2.819988688631585583e-01,4.033141257199466811e-01,9.653920973962225593e-01,-1.314172872574513318e-01,3.443595981429004582e-01,9.795234943543761341e-01
8.990000000000000213e+00,2.820085270903954777e-01,4.033077843837142296e-01,9.653858917246671556e-01,-1.323242873015837429e-01,3.439476995334757592e-01,9.788592809274510032e-01
9.000000000000000000e+00,2.820245082862773423e-01,4.032972723743738497e-01,9.653753788527639212e-01,-1.331129409285139731e-01,3.436180288720940834e-01,9.783011094213048819e-01
9.009999999999999787e+00,2.820434036547728729e-01,4.032849139340019540e-01,9.653628963875460212e-01,-1.337684489599146320e-01,3.433587305081822194e-01,9.778472980394271596e-01
9.019999999999999574e+00,2.820623668211623136e-01,4.032726238264121021e-01,9.653503949843481591e-01,-1.342919742161917673e-01,3.431574088454180105e-01,9.774889338233588854e-01
9.029999999999999361e+00,2.820793568630426407e-01,4.032617404848048981e-01,9.653392526152221320e-01,-1.346944077731009326e-01,3.430026819961870532e-01,9.772136393285522082e-01
9.040000000000000924e+00,2.820931488904738771e-01,4.032530302450224036e-01,9.653302742018866622e-01,-1.349917486263042810e-01,3.428847521748182858e-01,9.770079507099613814e-01
9.050000000000000711e+00,2.821032196772453315e-01,4.032467812174416188e-01,9.653237809386195911e-01,-1.352018704345573363e-01,3.427955008900004930e-01,9.768587598131580618e-01
9.060000000000000497e+00,2.821095804956281761e-01,4.032429304255817915e-01,9.653197341958497102e-01,-1.353424028215039765e-01,3.427283677754756619e-01,9.767541262028167637e-01
9.070000000000000284e+00,2.821126369354451380e-01,4.032411737576078181e-01,9.653178351048814498e-01,-1.354294594482912117e-01,3.426781459635812044e-01,9.766836717875861940e-01
